dataset,angle_deg,preprocessing,window_min_cm,window_max_cm,window_center_cm,window_width_cm,n_eff,status,n_points,fft_bin_spacing,peak_frequency_cycles_per_cm,peak_period_cm,constant_n_thickness_um,peak_to_second,peak_to_median
SiC_15deg,15.0,center_only,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0020483917578726,3.325821003580058
SiC_15deg,15.0,center_only,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0002442784741072,3.996640470123649
SiC_15deg,15.0,center_only,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0018657183181163,4.268090978905829
SiC_15deg,15.0,center_only,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0032453971619288,4.749394806692486
SiC_15deg,15.0,ma_detrend_401cm,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.0040283203125,248.24242424242425,7.785440249256875,1.0031030915685943,4.343221020646022
SiC_15deg,15.0,ma_detrend_401cm,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.667479033359044,1.0001334964717743,5.9036908387479325
SiC_15deg,15.0,ma_detrend_401cm,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0017607782064877,3.7738786428528357
SiC_15deg,15.0,ma_detrend_401cm,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0010603683965242,3.839563259164656
SiC_15deg,15.0,ma_detrend_401cm,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0025860168135896,4.264820297598065
SiC_15deg,15.0,ma_detrend_401cm,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.667479033359044,1.0022707852834136,4.613059520331749
SiC_15deg,15.0,rolling_median_401cm,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.667479033359044,1.0004372447185843,2.997145677608661
SiC_15deg,15.0,rolling_median_401cm,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.000285863186997,5.625964941120184
SiC_15deg,15.0,rolling_median_401cm,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0016597563086092,3.845733059544143
SiC_15deg,15.0,rolling_median_401cm,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0004371965202545,3.6632369187045004
SiC_15deg,15.0,rolling_median_401cm,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0022541574357418,4.197012590311103
SiC_15deg,15.0,rolling_median_401cm,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.003159101849405,4.47906447887703
