pass_id,variable_group,candidate_value,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse,chosen
2,sub_gamma_scale,0.5,1.75,1.0,2.5,0.5,2.125,2.125,1.75,1.75,7.47,0.0017386649438542088,0.0019102284765166152,0.0005303731293455685,False
2,epi_phonon_scale,1.875,1.75,1.0,2.5,0.1,1.875,1.875,1.75,1.75,7.46,0.0017155341800175056,0.0018864862840429055,0.0005285527959815138,False
2,epi_phonon_scale,2.0,1.75,1.0,2.5,0.1,2.0,2.0,1.75,1.75,7.46,0.0017147769682366453,0.0018845789228273517,0.0005247811263820854,False
2,epi_phonon_scale,2.125,1.75,1.0,2.5,0.1,2.125,2.125,1.75,1.75,7.46,0.0017145331931073256,0.0018831564853986316,0.0005208612998334612,True
2,epi_phonon_scale,2.25,1.75,1.0,2.5,0.1,2.25,2.25,1.75,1.75,7.46,0.001714797575144476,0.0018822137941912713,0.0005168022954332936,False
2,epi_phonon_scale,2.375,1.75,1.0,2.5,0.1,2.375,2.375,1.75,1.75,7.46,0.0017155642922890724,0.001881102519801943,0.0005121589656222544,False
2,sub_phonon_scale,1.5,1.75,1.0,2.5,0.1,2.125,2.125,1.5,1.5,7.45,0.0017306320089620353,0.0018918871714172613,0.000494204442389166,False
2,sub_phonon_scale,1.625,1.75,1.0,2.5,0.1,2.125,2.125,1.625,1.625,7.455,0.0017210730762318347,0.0018862075116447788,0.000507656691496134,False
2,sub_phonon_scale,1.75,1.75,1.0,2.5,0.1,2.125,2.125,1.75,1.75,7.46,0.0017145331931073256,0.0018831564853986316,0.0005208612998334612,False
2,sub_phonon_scale,1.875,1.75,1.0,2.5,0.1,2.125,2.125,1.875,1.875,7.465,0.0017115197242072505,0.0018837492495133333,0.0005338788649200385,True
2,sub_phonon_scale,2.0,1.75,1.0,2.5,0.1,2.125,2.125,2.0,2.0,7.47,0.0017125402069284343,0.001888447258430563,0.0005463377150467129,False
