dataset,angle_deg,band,frequency_cycles_per_cm,amplitude
SiC_15deg,15.0,1500-4000,0.0076,0.13037345258330513
SiC_15deg,15.0,1500-4000,0.008,0.12204679750375476
SiC_15deg,15.0,1500-2500,0.001,4.922316110948554
SiC_15deg,15.0,1500-2500,0.002,0.0785519336083545
SiC_15deg,15.0,1500-2500,0.003,0.8645873415316735
SiC_15deg,15.0,1500-2500,0.004,2.9680819187873473
SiC_15deg,15.0,1500-2500,0.005,1.194719660215218
SiC_15deg,15.0,1500-2500,0.006,0.18892203635854926
SiC_15deg,15.0,1500-2500,0.007,0.12383265598226069
SiC_15deg,15.0,1500-2500,0.008,0.058145677532617346
SiC_15deg,15.0,2500-4000,0.0006666666666666666,5.240265557974779
SiC_15deg,15.0,2500-4000,0.0013333333333333333,0.27912201030530404
SiC_15deg,15.0,2500-4000,0.002,0.0182925419782161
SiC_15deg,15.0,2500-4000,0.0026666666666666666,0.19633732752412594
SiC_15deg,15.0,2500-4000,0.003333333333333333,0.5324005660860683
SiC_15deg,15.0,2500-4000,0.004,1.6658738168229115
SiC_15deg,15.0,2500-4000,0.004666666666666666,0.3235038216094974
SiC_15deg,15.0,2500-4000,0.005333333333333333,0.060184339987636185
SiC_15deg,15.0,2500-4000,0.006,0.03276662344314514
SiC_15deg,15.0,2500-4000,0.006666666666666666,0.06389730002476261
SiC_15deg,15.0,2500-4000,0.007333333333333333,0.07303634719881327
SiC_15deg,15.0,2500-4000,0.008,0.030673371402570107
SiC_15deg,15.0,1500-2000,0.002,5.129956496706267
SiC_15deg,15.0,1500-2000,0.004,3.3157386053757176
SiC_15deg,15.0,1500-2000,0.006,0.605532227481719
SiC_15deg,15.0,1500-2000,0.008,0.11822668875795057
SiC_15deg,15.0,2000-2500,0.002,5.441379321001943
SiC_15deg,15.0,2000-2500,0.004,2.9719653485002673
SiC_15deg,15.0,2000-2500,0.006,0.2891266051396063
SiC_15deg,15.0,2000-2500,0.008,0.2641661590646224
SiC_15deg,15.0,2500-3000,0.002,5.477667730100945
SiC_15deg,15.0,2500-3000,0.004,2.9323708530208896
SiC_15deg,15.0,2500-3000,0.006,0.14695840926844445
SiC_15deg,15.0,2500-3000,0.008,0.2175006680231454
SiC_15deg,15.0,3000-3500,0.002,5.420670993329278
SiC_15deg,15.0,3000-3500,0.004,2.7466218873247454
SiC_15deg,15.0,3000-3500,0.006,0.014723830595914868
SiC_15deg,15.0,3000-3500,0.008,0.216095809985949
SiC_15deg,15.0,3500-4000,0.002,5.432926332503175
SiC_15deg,15.0,3500-4000,0.004,2.672894141287165
SiC_15deg,15.0,3500-4000,0.006,0.06238479135153632
SiC_15deg,15.0,3500-4000,0.008,0.2372196517495286
