dataset,angle_deg,band,band_min_cm,band_max_cm,band_width_cm,n_model,n_eff,k_mean,k_max,status,n_uniform_points,fft_resolution,target_frequency_min,target_frequency_max,peak_frequency_cycles_per_cm,peak_period_cm,thickness_um,peak_amplitude,second_amplitude,peak_to_second,peak_to_median,target_band_energy_fraction,detrended_std
SiC_10deg,10.0,3000-3500,3000.0,3500.0,500.0,dong_constrained_n_eff,2.519246937740514,0.0021771289304016025,0.0024085314114864875,ok,500,0.002,0.001507953089368117,0.006031812357472468,0.002,500.0,3.9789036159700446,5.130394554763168,2.527987275175835,2.029438441064274,2.029438441064274,0.9963403716311898,0.02981788960817171
SiC_10deg,10.0,3500-4000,3500.0,4000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.0015565168395303224,0.00622606735812129,0.002,500.0,3.8547607373207056,5.15649226161063,2.5219728810631525,2.044626371809708,2.044626371809708,0.9961443147684175,0.030042606120788157
SiC_10deg,10.0,3500-4000,3500.0,4000.0,500.0,larruquert_n_eff,3.119622888033506,0.008740631150885712,0.009245964579659791,ok,500,0.002,0.0018688717394772624,0.00747548695790905,0.002,500.0,3.2104931939728756,5.15649226161063,2.5219728810631525,2.044626371809708,2.044626371809708,0.9961443147684175,0.030042606120788157
SiC_10deg,10.0,3500-4000,3500.0,4000.0,500.0,dong_constrained_n_eff,2.5302986463196095,0.0018197473009264656,0.001975883384022879,ok,500,0.002,0.0015145998540821036,0.006058399416328414,0.002,500.0,3.961442346524055,5.15649226161063,2.5219728810631525,2.044626371809708,2.044626371809708,0.9961443147684175,0.030042606120788157
SiC_15deg,15.0,1500-4000,1500.0,4000.0,2500.0,constant_n,2.6,,,ok,2500,0.0004,0.001552251452787595,0.00620900581115038,0.004,250.0,7.730706245080282,3.500201727699514,2.183026764696537,1.6033709637939677,14.912282635710712,0.4661735167155886,0.019891159897216053
SiC_15deg,15.0,1500-4000,1500.0,4000.0,2500.0,larruquert_n_eff,3.0746948532940443,0.015578024133637612,0.059285845658815076,ok,2500,0.0004,0.001838269297843882,0.007353077191375528,0.004,250.0,6.527879247112967,3.500201727699514,2.183026764696537,1.6033709637939677,16.726988302762017,0.4656449702749862,0.019891159897216053
SiC_15deg,15.0,1500-4000,1500.0,4000.0,2500.0,dong_constrained_n_eff,2.4790069890035022,0.0032727580174276463,0.00812479544589523,ok,2500,0.0004,0.0014792754331872597,0.005917101732749039,0.004,250.0,8.11207955650605,3.500201727699514,2.183026764696537,1.6033709637939677,13.832445734598636,0.46578775097592534,0.019891159897216053
SiC_15deg,15.0,1500-2500,1500.0,2500.0,1000.0,constant_n,2.6,,,ok,1000,0.001,0.001552251452787595,0.00620900581115038,0.004,250.0,7.730706245080282,2.9680819187873473,1.194719660215218,2.4843333692631075,3.432946304220918,0.312428405948394,0.026737741885158522
SiC_15deg,15.0,1500-2500,1500.0,2500.0,1000.0,larruquert_n_eff,3.0310309738355574,0.025409076259544236,0.059285845658815076,ok,1000,0.001,0.0018119763044387167,0.007247905217754867,0.004,250.0,6.622603160209182,2.9680819187873473,1.194719660215218,2.4843333692631075,5.634656854657114,0.3128629096737119,0.026737741885158522
SiC_15deg,15.0,1500-2500,1500.0,2500.0,1000.0,dong_constrained_n_eff,2.422906080689964,0.00480675516606479,0.00812479544589523,ok,1000,0.001,0.0014454256009858077,0.005781702403943231,0.004,250.0,8.3020530367082,2.9680819187873473,1.194719660215218,2.4843333692631075,2.882602658340452,0.31141708648657873,0.026737741885158522
SiC_15deg,15.0,2500-4000,2500.0,4000.0,1500.0,constant_n,2.6,,,ok,1500,0.0006666666666666666,0.001552251452787595,0.00620900581115038,0.004,250.0,7.730706245080282,1.6658738168229115,0.5324005660860683,3.128985810570316,8.48475344872059,0.10419677107409045,0.02569391604647363
SiC_15deg,15.0,2500-4000,2500.0,4000.0,1500.0,larruquert_n_eff,3.1039759571123313,0.008928874207308812,0.010995738981390541,ok,1500,0.0006666666666666666,0.001855899943402259,0.007423599773609036,0.004,250.0,6.46586581494337,1.6658738168229115,0.5324005660860683,3.128985810570316,22.80883259794213,0.10450275619024535,0.02569391604647363
SiC_15deg,15.0,2500-4000,2500.0,4000.0,1500.0,dong_constrained_n_eff,2.516729220662398,0.0022419056101218786,0.0031088842375662433,ok,1500,0.0006666666666666666,0.0015020312652971458,0.006008125061188583,0.004,250.0,7.989181235602341,1.6658738168229115,0.5324005660860683,3.128985810570316,8.48475344872059,0.10419677107409045,0.02569391604647363
SiC_15deg,15.0,1500-2000,1500.0,2000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.001552251452787595,0.00620900581115038,0.002,500.0,3.865353122540141,5.129956496706267,3.3157386053757176,1.5471534723482747,1.5471534723482747,0.9981761322580636,0.027544180857947485
SiC_15deg,15.0,1500-2000,1500.0,2000.0,500.0,larruquert_n_eff,3.0036450263714154,0.03553181816555629,0.059285845658815076,ok,500,0.002,0.0017954839494358243,0.007181935797743297,0.002,500.0,3.341717424923412,5.129956496706267,3.3157386053757176,1.5471534723482747,1.5471534723482747,0.9981761322580636,0.027544180857947485
SiC_15deg,15.0,1500-2000,1500.0,2000.0,500.0,dong_constrained_n_eff,2.38060908938241,0.005912478190832153,0.00812479544589523,frequency_grid_too_coarse,500,0.002,0.001419898743503653,0.005679594974014612,,,,,,,,,
SiC_15deg,15.0,2000-2500,2000.0,2500.0,500.0,constant_n,2.6,,,ok,500,0.002,0.001552251452787595,0.00620900581115038,0.002,500.0,3.865353122540141,5.441379321001943,2.9719653485002673,1.8309026798538575,1.8309026798538575,0.9963097423052057,0.030317044483743096
SiC_15deg,15.0,2000-2500,2000.0,2500.0,500.0,larruquert_n_eff,3.058507340195384,0.015230440407722536,0.021225612509225923,ok,500,0.002,0.0018285220115414674,0.00731408804616587,0.002,500.0,3.2813386779751825,5.441379321001943,2.9719653485002673,1.8309026798538575,1.8309026798538575,0.9963097423052057,0.030317044483743096
SiC_15deg,15.0,2000-2500,2000.0,2500.0,500.0,dong_constrained_n_eff,2.4653845846851095,0.0036963509955224116,0.004452521147892237,frequency_grid_too_coarse,500,0.002,0.0014710568265115622,0.005884227306046249,,,,,,,,,
SiC_15deg,15.0,2500-3000,2500.0,3000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.001552251452787595,0.00620900581115038,0.002,500.0,3.865353122540141,5.477667730100945,2.9323708530208896,1.8679996510188759,1.8679996510188759,0.9964706724431461,0.030830613215092097
SiC_15deg,15.0,2500-3000,2500.0,3000.0,500.0,larruquert_n_eff,3.087144740280548,0.009552377542293286,0.010995738981390541,ok,500,0.002,0.0018457657288400025,0.00738306291536001,0.002,500.0,3.2506833918575273,5.477667730100945,2.9323708530208896,1.8679996510188759,1.8679996510188759,0.9964706724431461,0.030830613215092097
SiC_15deg,15.0,2500-3000,2500.0,3000.0,500.0,dong_constrained_n_eff,2.500705498516281,0.0027272139975983256,0.0031088842375662433,frequency_grid_too_coarse,500,0.002,0.0014923654543015398,0.005969461817206159,,,,,,,,,
SiC_15deg,15.0,3000-3500,3000.0,3500.0,500.0,constant_n,2.6,,,ok,500,0.002,0.001552251452787595,0.00620900581115038,0.002,500.0,3.865353122540141,5.420670993329278,2.7466218873247454,1.9735774401073822,1.9735774401073822,0.9962789932651961,0.031154747598023676
SiC_15deg,15.0,3000-3500,3000.0,3500.0,500.0,larruquert_n_eff,3.1051935269032156,0.008481488844869916,0.008816470352728856,ok,500,0.002,0.0018566330372232923,0.007426532148893169,0.002,500.0,3.2316563799669136,5.420670993329278,2.7466218873247454,1.9735774401073822,1.9735774401073822,0.9962789932651961,0.031154747598023676
SiC_15deg,15.0,3000-3500,3000.0,3500.0,500.0,dong_constrained_n_eff,2.519246937740514,0.0021771289304016025,0.0024085314114864875,ok,500,0.002,0.0015035499395346281,0.0060141997581385125,0.002,500.0,3.990555845359611,5.420670993329278,2.7466218873247454,1.9735774401073822,1.9735774401073822,0.9962789932651961,0.031154747598023676
SiC_15deg,15.0,3500-4000,3500.0,4000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.001552251452787595,0.00620900581115038,0.002,500.0,3.865353122540141,5.432926332503175,2.672894141287165,2.0326006363599882,2.0326006363599882,0.9950262797042576,0.031579739549136426
SiC_15deg,15.0,3500-4000,3500.0,4000.0,500.0,larruquert_n_eff,3.119622888033506,0.008740631150885712,0.009245964579659791,ok,500,0.002,0.0018653207444181024,0.00746128297767241,0.002,500.0,3.2166049822556038,5.432926332503175,2.672894141287165,2.0326006363599882,2.0326006363599882,0.9950262797042576,0.031579739549136426
SiC_15deg,15.0,3500-4000,3500.0,4000.0,500.0,dong_constrained_n_eff,2.5302986463196095,0.0018197473009264656,0.001975883384022879,ok,500,0.002,0.0015102160835209193,0.006040864334083677,0.002,500.0,3.972941399227847,5.432926332503175,2.672894141287165,2.0326006363599882,2.0326006363599882,0.9950262797042576,0.031579739549136426
